Order_ID,Order_Date,Customer_ID,Product,Category,Quantity,Unit_Price_SEK,Discount,Total_Sales_SEK,Region,Payment_Method
ORD1095,24-03-2026,C0012,Ground Beef 500g,Meat,1,74,0.05,70.3,Stockholm,Swish
ORD1096,18-02-2026,C0022,Tomato Sauce,Pantry,1,19,0,19,Malmö,Swish
ORD1097,23-02-2026,C0002,Pasta 500g,Pantry,4,21,0.05,79.8,Västerås,Card
ORD1098,14-02-2026,C0003,Orange Juice 1L,Beverages,3,31,0.15,79.05,Stockholm,Card
ORD1099,26-01-2026,C0009,Milk 1L,Dairy,3,18.5,0,55.5,Malmö,Cash
ORD1100,15-01-2026,C0050,Tea 20-pack,Beverages,2,39,0,78,Gothenburg,Card
ORD1101,19-03-2026,C0020,Apples 1kg,Fruit,3,29,0,87,Stockholm,Cash
ORD1102,04-01-2026,C0026,Rice 1kg,Pantry,2,27,0.05,51.3,Uppsala,Card
ORD1103,17-03-2026,C0055,Orange Juice 1L,Beverages,1,31,0,31,Västerås,Card
ORD1104,14-03-2026,C0043,Bread,Bakery,2,24,0.05,45.6,Gothenburg,Card
ORD1105,06-03-2026,C0053,Tomato Sauce,Pantry,1,19,0.05,18.05,Malmö,Card
ORD1106,25-02-2026,C0046,Cereal 500g,Breakfast,3,45,0.05,128.25,Uppsala,Swish
ORD1107,23-01-2026,C0040,Yogurt 500g,Dairy,5,26,0,130,Västerås,Swish
ORD1108,01-03-2026,C0018,Ground Beef 500g,Meat,4,74,0.1,266.4,Gothenburg,Card
ORD1109,12-01-2026,C0049,Pasta 500g,Pantry,4,21,0,84,Malmö,Cash
ORD1110,20-03-2026,C0055,Chicken Breast 1kg,Meat,2,89,0.05,169.1,Gothenburg,Card
ORD1111,04-03-2026,C0022,Tea 20-pack,Beverages,2,39,0,78,Gothenburg,Cash
ORD1112,31-03-2026,C0013,Pasta 500g,Pantry,2,21,0.1,37.8,Stockholm,Card
ORD1113,22-02-2026,C0045,Potato Chips,Snacks,2,28,0,56,Malmö,Cash
ORD1114,04-03-2026,C0019,Chocolate Bar,Snacks,4,16,0,64,Uppsala,Swish
ORD1115,30-03-2026,C0024,Orange Juice 1L,Beverages,2,31,0.1,55.8,Malmö,Cash
ORD1116,09-03-2026,C0036,Cereal 500g,Breakfast,2,45,0.15,76.5,Gothenburg,Swish
ORD1117,31-03-2026,C0015,Chocolate Bar,Snacks,1,16,0,16,Stockholm,Cash
ORD1118,25-01-2026,C0049,Tomato Sauce,Pantry,1,19,0.1,17.1,Uppsala,Card
ORD1119,28-01-2026,C0049,Potato Chips,Snacks,1,28,0.1,25.2,Västerås,Cash
ORD1120,06-02-2026,C0015,Apples 1kg,Fruit,4,29,0,116,Gothenburg,Card
ORD1121,08-02-2026,C0018,Milk 1L,Dairy,3,18.5,0,55.5,Stockholm,Card
ORD1122,12-03-2026,C0041,Rice 1kg,Pantry,3,27,0,81,Malmö,Card
ORD1123,02-01-2026,C0022,Rice 1kg,Pantry,2,27,0.05,51.3,Uppsala,Card
ORD1124,02-02-2026,C0026,Potato Chips,Snacks,1,28,0,28,Malmö,Card
ORD1125,15-03-2026,C0020,Bread,Bakery,1,24,0.1,21.6,Stockholm,Card
ORD1126,16-01-2026,C0039,Mineral Water 1.5L,Beverages,3,12,0.1,32.4,Västerås,Card
ORD1127,08-03-2026,C0020,Chicken Breast 1kg,Meat,2,89,0.05,169.1,Västerås,Swish
ORD1128,09-02-2026,C0007,Bread,Bakery,3,24,0.15,61.2,Uppsala,Cash
ORD1129,28-01-2026,C0016,Pasta 500g,Pantry,3,21,0,63,Uppsala,Cash
ORD1130,10-01-2026,C0045,Coffee 500g,Beverages,1,69,0.05,65.55,Västerås,Swish
ORD1131,07-02-2026,C0019,Bread,Bakery,1,24,0.15,20.4,Malmö,Card
ORD1132,29-03-2026,C0038,Orange Juice 1L,Beverages,5,31,0.15,131.75,Uppsala,Swish
ORD1133,15-01-2026,C0059,Mineral Water 1.5L,Beverages,1,12,0,12,Gothenburg,Card
ORD1134,10-01-2026,C0039,Bread,Bakery,1,24,0,24,Västerås,Swish
ORD1135,26-02-2026,C0045,Apples 1kg,Fruit,2,29,0,58,Malmö,Swish
ORD1136,06-03-2026,C0039,Mineral Water 1.5L,Beverages,2,12,0,24,Stockholm,Swish
ORD1137,11-02-2026,C0044,Pasta 500g,Pantry,1,21,0,21,Västerås,Cash
ORD1138,03-01-2026,C0031,Pasta 500g,Pantry,2,21,0,42,Västerås,Cash
ORD1139,26-02-2026,C0028,Pasta 500g,Pantry,1,21,0.1,18.9,Malmö,Card
ORD1140,02-03-2026,C0043,Cereal 500g,Breakfast,2,45,0,90,Stockholm,Card
ORD1141,12-02-2026,C0043,Ground Beef 500g,Meat,3,74,0,222,Malmö,Cash
ORD1142,05-01-2026,C0021,Chocolate Bar,Snacks,1,16,0,16,Stockholm,Swish
ORD1143,07-03-2026,C0030,Milk 1L,Dairy,3,18.5,0.1,49.95,Malmö,Card
ORD1144,25-01-2026,C0041,Yogurt 500g,Dairy,2,26,0.05,49.4,Malmö,Card
ORD1145,27-01-2026,C0029,Pasta 500g,Pantry,2,21,0,42,Malmö,Card
ORD1146,04-01-2026,C0036,Orange Juice 1L,Beverages,3,31,0,93,Stockholm,Cash
ORD1147,22-02-2026,C0030,Eggs 12-pack,Dairy,1,32,0,32,Stockholm,Cash
ORD1148,20-01-2026,C0033,Potato Chips,Snacks,5,28,0,140,Gothenburg,Swish
ORD1149,03-03-2026,C0010,Potato Chips,Snacks,1,28,0.1,25.2,Malmö,Card
ORD1150,18-03-2026,C0056,Yogurt 500g,Dairy,3,26,0,78,Stockholm,Swish
